Sparsity K,Method,PSNR (dB),SSIM,MAE,MSE,Time (s)
2,Nearest Neighbor,19.6488,0.7181,0.042371,0.010842,0.023
2,Linear Z,20.1979,0.6881,0.049971,0.009555,0.1258
2,Trilinear,20.1979,0.6881,0.049971,0.009555,0.1948
2,3D CNN,20.0959,0.539,0.055549,0.009782,1.4398
2,3D GAN,19.3366,0.5166,0.059046,0.01165,3.5993
2,Proposed (Tri+CNN),20.3721,0.6878,0.051799,0.009179,6.11
4,Nearest Neighbor,15.8794,0.4837,0.086167,0.025826,0.0463
4,Linear Z,16.9237,0.501,0.081384,0.020306,0.1881
4,Trilinear,16.9237,0.501,0.081384,0.020306,0.2447
4,3D CNN,16.9317,0.3831,0.084071,0.020269,2.616
4,3D GAN,15.7711,0.3301,0.094431,0.026478,6.4099
4,Proposed (Tri+CNN),17.7776,0.5221,0.072955,0.016682,7.157
6,Nearest Neighbor,14.6578,0.4263,0.104753,0.034215,0.0404
6,Linear Z,15.711,0.4315,0.097955,0.026847,0.1706
6,Trilinear,15.711,0.4315,0.097955,0.026847,0.2537
6,3D CNN,15.7576,0.3295,0.099506,0.026561,2.7453
6,3D GAN,14.5945,0.2903,0.111398,0.034717,6.4573
6,Proposed (Tri+CNN),16.5437,0.4469,0.089004,0.022163,7.0495
